Age,marketvalue,fee
21,22000000,43000000
21,11000000,10500000
21,22000000,31000000
21,9000000,24760000
21,20000000,20000000
21,20000000,20000000
21,5000000,15000000
21,3500000,15000000
21,7500000,13100000
21,8000000,6000000
21,28000000,34000000
21,10000000,20000000
21,4000000,11000000
21,3000000,6600000
21,6000000,6000000
21,28000000,40000000
21,5000000,8400000
21,3500000,6000000
21,11000000,24000000
21,9000000,9200000
21,6500000,18200000
21,5000000,7200000
21,6500000,13000000
21,6500000,7000000
21,7000000,11000000
21,8000000,23000000
21,3500000,8000000
21,20000000,21000000
21,25000000,20000000
21,15000000,12000000
21,15000000,8000000
21,10000000,12000000
21,500000,10500000
21,8000000,10000000
21,1500000,10000000
21,12000000,40000000
21,22000000,38000000
21,10000000,13000000
21,12000000,10000000
21,7500000,11000000
21,2500000,8000000
21,45000000,41000000
21,30000000,31000000
21,15000000,15000000
21,10000000,15000000
21,6000000,10000000
21,10000000,19000000
21,25000000,8000000
21,25000000,39200000
21,22000000,25000000
21,10000000,25000000
21,8000000,16900000
21,12000000,14000000
21,7000000,6500000
21,2500000,5200000
21,12000000,22000000
21,10000000,20000000
21,4000000,7500000
21,7500000,6000000
21,1000000,5800000
21,1500000,5000000
